product_id,product_name,category,price,stock_quantity,created_at
1,Story,Home,377.67,410,2025-01-01
2,Local,Clothing,950.96,538,2025-05-11
3,Number,Sports,733.33,640,2022-04-17
4,Large,Sports,600.67,913,2023-11-24
5,Attack,Books,160.24,735,2022-02-05
6,Provide,Clothing,160.21,339,2021-08-19
7,Entire,Electronics,62.79,556,2022-01-05
8,Large,Books,866.85,596,2022-02-28
9,Usually,Books,603.11,919,2024-01-06
10,Never,Electronics,709.53,537,2021-09-10
11,Interest,Electronics,25.48,220,2022-12-05
12,Practice,Clothing,970.06,293,2023-09-30
13,Decision,Clothing,833.28,204,2021-04-21
14,Travel,Sports,216.28,880,2023-02-08
15,Those,Electronics,185.92,705,2020-08-10
16,Ever,Electronics,187.49,514,2022-01-29
17,Letter,Books,307.72,202,2021-03-18
18,Argue,Electronics,527.13,866,2024-04-15
19,Nothing,Books,434.79,32,2024-05-27
20,Idea,Home,294.77,89,2022-12-30
21,Reflect,Home,613.79,202,2023-07-03
22,Popular,Electronics,143.8,951,2025-03-16
23,Simply,Home,295.68,690,2023-12-23
24,Charge,Home,369.53,705,2025-05-21
25,Serious,Clothing,458.79,672,2023-08-15
26,Speech,Clothing,786.25,293,2021-12-14
27,Fall,Clothing,203.68,716,2022-10-22
28,Nation,Electronics,516.66,753,2020-07-27
29,Explain,Home,594.45,115,2021-05-29
30,Speech,Electronics,51.22,722,2024-06-12
31,Hospital,Home,609.51,222,2023-05-25
32,Money,Sports,174.67,909,2023-01-13
33,Wide,Clothing,69.73,182,2023-01-28
34,Owner,Sports,949.14,771,2023-09-15
35,Although,Sports,965.8,469,2022-05-25
36,Main,Sports,809.36,426,2022-02-18
37,Purpose,Home,308.09,974,2022-12-31
38,Field,Electronics,102.18,552,2025-05-31
39,Pick,Electronics,685.81,842,2022-06-19
40,Police,Books,442.95,834,2024-08-22
41,Citizen,Books,126.43,60,2024-05-04
42,Others,Electronics,497.7,485,2024-02-19
43,Choose,Sports,39.22,11,2024-04-02
44,Religious,Books,909.77,632,2025-04-22
45,Media,Clothing,262.49,385,2024-04-19
